County Name,Median Home Price Q2 2017,Monthly Payment (r=4.5%),Monthly Payment (r=5.0%),Monthly Payment (r=5.5%)
Saline County,"156,210",712,755,798
Scott County,"72,743",332,351,372
Searcy County,"93,482",426,452,478
Sebastian County,"133,407",608,645,682
Sevier County,"78,579",358,380,402
Sharp County,"83,269",380,402,426
Stone County,"111,825",510,540,571
Union County,"83,269",380,402,426
Van Buren County,"103,070",470,498,527
Washington County,"184,743",842,893,944
White County,"123,393",563,596,631
Woodruff County,"66,386",303,321,339
Yell County,"104,529",477,505,534
Alameda County,"899,885","4,104","4,348","4,599"
Alpine County,"367,098","1,674","1,774","1,876"
Amador County,"297,479","1,357","1,437","1,520"
Butte County,"290,347","1,324","1,403","1,484"
Arkansas California,,,,
Calaveras County,"291,927","1,331","1,410","1,492"
Colusa County,"238,752","1,089","1,154","1,220"
Contra Costa County,"740,072","3,375","3,576","3,782"
Del Norte County,"198,498",905,959,"1,014"
El Dorado County,"518,090","2,363","2,503","2,647"
Fresno County,"270,043","1,231","1,305","1,380"
Glenn County,"229,142","1,045","1,107","1,171"
Humboldt County,"347,237","1,583","1,678","1,774"
Imperial County,"214,933",980,"1,038","1,098"
Inyo County,"259,574","1,184","1,254","1,326"
Kern County,"219,620","1,002","1,061","1,122"
Kings County,"238,412","1,087","1,152","1,218"
Lake County,"224,765","1,025","1,086","1,149"
Lassen County,"189,528",864,916,969
Los Angeles County,"647,932","2,955","3,130","3,311"
Madera County,"268,724","1,225","1,298","1,373"
Marin County,"1,168,353","5,328","5,645","5,970"
Mariposa County,"277,085","1,264","1,339","1,416"
Mendocino County,"437,677","1,996","2,115","2,237"
Merced County,"284,742","1,298","1,376","1,455"
Modoc County,"152,797",697,738,781
Mono County,"332,822","1,518","1,608","1,701"
Monterey County,"569,751","2,598","2,753","2,911"
Napa County,"677,850","3,091","3,275","3,464"
Nevada County,"466,827","2,129","2,255","2,386"
Orange County,"747,758","3,410","3,613","3,821"
Placer County,"514,029","2,344","2,483","2,627"
Plumas County,"244,411","1,115","1,181","1,249"
Riverside County,"388,215","1,770","1,876","1,984"
Sacramento County,"387,826","1,769","1,874","1,982"
San Benito County,"526,295","2,400","2,543","2,689"
San Bernardino County,"359,487","1,639","1,737","1,837"
San Diego County,"611,062","2,787","2,952","3,123"
San Francisco County,"1,272,168","5,801","6,146","6,501"
San Joaquin County,"390,423","1,780","1,886","1,995"
San Luis Obispo County,"619,565","2,825","2,993","3,166"
San Mateo County,"1,252,580","5,712","6,052","6,401"
Santa Barbara County,"606,728","2,767","2,931","3,100"
Santa Clara County,"1,112,008","5,071","5,373","5,682"
Santa Cruz County,"844,402","3,851","4,080","4,315"
Shasta County,"266,014","1,213","1,285","1,359"
Sierra County,"167,746",765,810,857
Siskiyou County,"188,567",860,911,964
Solano County,"458,583","2,091","2,216","2,343"
Sonoma County,"694,882","3,169","3,357","3,551"
Stanislaus County,"322,712","1,472","1,559","1,649"
Sutter County,"307,563","1,403","1,486","1,572"
California,,,,
Tehama County,"204,370",932,987,"1,044"
Trinity County,"305,915","1,395","1,478","1,563"
Tulare County,"222,337","1,014","1,074","1,136"
Tuolumne County,"292,034","1,332","1,411","1,492"
Ventura County,"623,647","2,844","3,013","3,187"
Yolo County,"472,327","2,154","2,282","2,414"
Yuba County,"279,603","1,275","1,351","1,429"
Adams County,"343,531","1,567","1,660","1,755"
Alamosa County,"170,767",779,825,873
Arapahoe County,"408,027","1,861","1,971","2,085"
Archuleta County,"306,018","1,395","1,478","1,564"
Baca County,"89,125",406,431,455
Bent County,"86,780",396,419,443
Boulder County,"556,326","2,537","2,688","2,843"
Broomfield County,"464,057","2,116","2,242","2,371"
Chaffee County,"349,799","1,595","1,690","1,788"
Cheyenne County,"100,517",458,486,514
Clear Creek County,"353,111","1,610","1,706","1,804"
Conejos County,"126,316",576,610,645
Costilla County,"127,545",582,616,652
Crowley County,"89,013",406,430,455
Custer County,"277,315","1,265","1,340","1,417"
